ts	phase	decision	why	evidence	result
2026-09-12T15:05:03Z	frame	routed to figure-it-out, not Feature	greenfield multi-part build with a data pipeline, a renderer and a print path; the audit trail is the point	.audit/dive-map.tsv	open
2026-09-12T15:05:03Z	frame	fired two recon agents before designing anything	the ICGC data formats and MapLibre texture-fill limits are the two facts the whole architecture hangs on	2 background agents	running
2026-09-12T15:06:15Z	recon	pulled the real OSM data first, before any design	wanted the actual feature mix, not my guess at it: 48 dive spots, 343 mooring buoys, 3 wrecks, 33 restricted areas	pipeline/scripts/fetch-osm.sh, data/raw/osm-costabrava.json	VERIFIED
2026-09-12T15:14:16Z	recon	found the textures: Crosshead Dungeondraft packs, 2048px not 1024	user pointed at ~/Pictures; the pack ships .dungeondraft_tags, so these are VTT map assets	/Users/maui/Pictures/textures/CH - Team Combo/textures/terrain	VERIFIED
2026-09-12T15:14:16Z	recon	wrote a seam checker instead of eyeballing the textures	a seam invisible on screen is obvious on a laminated A3 print; needed a number	pipeline/scripts/check-tileable.py	8 of 12 clean, ch_swamp BAD
2026-09-12T15:14:16Z	frame	user chose: all Catalonia, annotations in git, SvelteKit, strictest TS	answers to the framing questions	AskUserQuestion round 1	settled
2026-09-12T15:18:25Z	stack	MapLibre GL 6.9, not Leaflet or OpenLayers	it is the only one with a built-in hillshade over a custom DEM; OpenLayers would mean hand-writing the slope maths	recon agent ran it in a real browser	settled
2026-09-12T15:18:25Z	stack	downscale the 2048px Crosshead textures to 512 at pixelRatio 2	1024 works but MapLibre packs the pattern atlas per tile, so 30 visible tiles cost ~126MB of GPU texture	measured in maplibre-gl 6.9.0 source and a live page	settled
2026-09-12T15:18:25Z	stack	fill-pattern grain is fixed in screen pixels, not on the ground	found by reading webgl/program/pattern.ts; no style option changes it	recon report section 1	ACCEPTED, matches how paper chart hatching works
2026-09-12T15:18:26Z	stack	add a color-relief layer for the depth tint, on top of hillshade	shade alone does not tell you which way is down; the hypsometric ramp does	maplibre-gl 5.6.0+ color-relief-color takes an elevation expression	settled
2026-09-12T15:18:26Z	stack	bake contours at 1m with gdal_contour, filter the interval in the style	drops the maplibre-contour dependency, whose npm latest is 0.1.0 from 2024 while its repo moved on	filter on depth modulo interval	settled
2026-09-12T15:18:26Z	stack	print export needs maxCanvasSize [8192,8192]	the 4096 default silently downscales A3/300dpi to 2893x4096 and getPixelRatio still lies about it	measured in headless Chrome 151	settled
